Name,Published Date,Original Price,Discount Price,Reviews,Search Query,score,score_phrase,platform,genre,release_year,release_month,release_day
"""beehive"" skin set","Dec 5, 2024",$4.99,$2.99,,topsellers,,,,,,,
"""bushranger"" skin set","Dec 5, 2024",$4.99,$2.99,,topsellers,,,,,,,
"""dragonfly"" skin set","Dec 5, 2024",$4.99,$2.99,,topsellers,,,,,,,
"""guerilla"" skin set","Dec 5, 2024",$4.99,$2.99,,topsellers,,,,,,,
"""jungle"" skin set","Dec 5, 2024",$4.99,$2.99,,topsellers,,,,,,,
"""royal flush"" skin set","Dec 5, 2024",$4.99,$2.99,,topsellers,,,,,,,
"""salamander"" skin set","Dec 5, 2024",$4.99,$2.99,,topsellers,,,,,,,
"""sandstorm"" skin set","Dec 5, 2024",$4.99,$2.99,,topsellers,,,,,,,
#blud,"Jun 18, 2024",,$24.99,249.0,topsellers,,,,,,,
,,,,,,7.5,Good,Xbox One,Party,2015.0,1.0,14.0
,,,,,,9.0,Amazing,Xbox 360,Action,2009.0,7.0,17.0
(the) gnorp apologue,"Dec 14, 2023",,$6.99,7583.0,topsellers,,,,,,,
,,,,,,4.0,Bad,PlayStation 3,Other,2009.0,10.0,16.0
.hack//g.u. last recode,"Nov 3, 2017",,$49.99,3168.0,topsellers,,,,,,,
,,,,,,5.0,Mediocre,PlayStation 2,RPG,2007.0,10.0,5.0
,,,,,,5.5,Mediocre,PlayStation 2,RPG,2007.0,10.0,5.0
,,,,,,5.5,Mediocre,PlayStation 2,RPG,2007.0,10.0,5.0
,,,,,,8.5,Great,PlayStation 2,"Action, RPG",2003.0,2.0,10.0
,,,,,,8.4,Great,PlayStation 2,"Action, RPG",2003.0,5.0,5.0
,,,,,,8.4,Great,PlayStation 2,"Action, RPG",2003.0,9.0,9.0
,,,,,,8.3,Great,PlayStation 2,"Action, RPG",2004.0,1.0,13.0
,,,,,,4.0,Bad,Xbox 360,Shooter,2010.0,1.0,5.0
,,,,,,8.5,Great,Xbox 360,"Puzzle, Action",2009.0,11.0,10.0
001 game creator: 2024 edition,"Jul 13, 2015",$79.99,$19.99,246.0,topsellers,,,,,,,
,,,,,,4.5,Bad,Xbox 360,Action,2012.0,10.0,16.0
,,,,,,4.5,Bad,PlayStation 3,Action,2012.0,10.0,16.0
,,,,,,4.2,Bad,Wii U,Action,2013.0,1.0,14.0
,,,,,,5.0,Mediocre,PlayStation,Racing,2000.0,11.0,21.0
,,,,,,8.9,Great,Nintendo 64,Shooter,2000.0,10.0,18.0
,,,,,,6.9,Okay,PlayStation,Action,2000.0,11.0,8.0
,,,,,,5.0,Mediocre,PlayStation,Action,1999.0,11.0,19.0
,,,,,,4.0,Bad,iPhone,Shooter,2010.0,1.0,14.0
0°n 0°w,"Mar 1, 2018",,$4.99,306.0,topsellers,,,,,,,
,,,,,,7.5,Good,Wireless,Trivia,2007.0,9.0,7.0
,,,,,,4.5,Bad,Nintendo DS,Trivia,2008.0,8.0,1.0
,,,,,,8.0,Great,iPhone,Platformer,2011.0,6.0,27.0
,,,,,,4.0,Bad,Game Boy Color,Sports,1999.0,10.0,4.0
100 cats london,"Mar 16, 2025",$1.99,$1.59,14.0,topsellers,,,,,,,
100% orange juice,"May 16, 2014",,$6.99,14246.0,topsellers,,,,,,,
100% orange juice - breaker pack,"Jun 7, 2016",,$3.99,110.0,topsellers,,,,,,,
100% orange juice - poyo & chuu character pack,"Dec 27, 2024",,$2.99,22.0,topsellers,,,,,,,
,,,,,,8.0,Great,Wireless,Puzzle,2005.0,8.0,22.0
,,,,,,7.5,Good,iPhone,,2012.0,8.0,9.0
,,,,,,7.0,Good,iPhone,Adventure,2010.0,2.0,12.0
